Artist(s),Song Name,Spotify Link,Score
Joy Oladokun,"Questions, Chaos & Faith",https://open.spotify.com/track/7dwszn3bUo9ozTx5SjRzZa,0.7647895946428572
Taylor Swift,Down Bad,https://open.spotify.com/track/2F3N9tdombb64aW6VtZOdo,0.7318912219285714
"Jaz Karis, Mahalia",NICE GIRLS,https://open.spotify.com/track/30JrG6H4yDSDyLPStS69CG,0.7311854790714286
Forest Blakk,Undone,https://open.spotify.com/track/0JujZ8PVcQ7kZbaqkc3aAh,0.7203599217857144
"Zac Brown Band, Mac McAnally",Pirates & Parrots (feat. Mac McAnally),https://open.spotify.com/track/5rqj68RF5smc7CmGE60jSb,0.7196807789285714
Surfaces,Golden,https://open.spotify.com/track/0ZUpCQFSRhJhMJlnjzf1oZ,0.7099379217857144
Mercer Henderson,What You Wanted,https://open.spotify.com/track/6id2Exr8Jp9bO1uFUC2i9B,0.7082599217857144
RealestK,Let Me Go,https://open.spotify.com/track/3KSy31qPrTqOcPXnebceQN,0.7018322903571429
Jhariah,BIGSHOT,https://open.spotify.com/track/4rw3XsjKI27B5PBIyrbS8x,0.6986522075
Danielle Bradbery,Younger and Wiser,https://open.spotify.com/track/6p5dxf9lCU0nS4taYbrc3E,0.697797793357143
"03 Greedo, Maxo Kream",R.I.C.O.,https://open.spotify.com/track/1xwwiCARYUFeKtmPoT048O,0.6942095389285713
"Taylor Swift, Post Malone",Fortnight (feat. Post Malone),https://open.spotify.com/track/2OzhQlSqBEmt7hmkYxfT6m,0.6932750432142859
sombr,savior,https://open.spotify.com/track/2cPgl2d9IPeNB8794NftZT,0.6922537789285714
iñigo quintero,Desconocido,https://open.spotify.com/track/10pstCVmtxdb4TZ0pL4IjH,0.687795064642857
$uicideboy$,"Are You Going to See the Rose in the Vase, or the Dust on the Table",https://open.spotify.com/track/78RdTKcI2CediltTnGLIqr,0.6860807789285713
"Sia, Paris Hilton",Fame Won’t Love You (feat. Paris Hilton),https://open.spotify.com/track/7h2FujO8auY7s0hD4SCtZ4,0.6788522075
"Mez, SAINt JHN, MAVI",Bat Phone,https://open.spotify.com/track/0rLhCmGwVdTnhpDtckZ1dC,0.6787950646428571
Arooj Aftab,Raat Ki Rani,https://open.spotify.com/track/5bYvn1VEE4f4kjug81vwmE,0.6777170646428571
Hozier,Why Would You Be Loved,https://open.spotify.com/track/4oHFmfo0VVpcIA9AewhOZB,0.6769120790714286
Mon RovÎa,Damn These Forces,https://open.spotify.com/track/7AuNXwgiihfpxY6Y9iSvFs,0.6712483789285715
"Gloss Up, Jacquees",Ride Home,https://open.spotify.com/track/2rnWo5yqcjpx0lldvnTdIU,0.6682522075
"Headie One, Stormzy, Tay Keith",Cry No More (feat. Stormzy & Tay Keith),https://open.spotify.com/track/1RAwKDC2VKpxLy6es0KZTJ,0.6669604932142856
"Eyedress, Cuco",Changing Faces (feat. Cuco),https://open.spotify.com/track/0Ti4ZWTNevOQFTN63Vldjl,0.6625562066428572
"Nas, DJ Premier",Define My Name,https://open.spotify.com/track/4LDx21eeTurv7b1slX4rFl,0.6623664932142856
Rundown Spaz,How It Feel,https://open.spotify.com/track/7HJ9D1uLjSRyp0chTB08yS,0.6601448647857142
Sadie Jean,You Don’t,https://open.spotify.com/track/4wxBy0t4F83qVAiHahe6kW,0.6583170646428572
"Juls, Odeal",Hold You Down,https://open.spotify.com/track/1UAv2FU9jslNl8AHsoUBjY,0.6552484923571428
Tyler Childers,Going Home - Live,https://open.spotify.com/track/0IFwRqhkQZdKpUW1uvOaDO,0.6541927789285713
Koryn Hawthorne,In the Morning,https://open.spotify.com/track/1U7lTpzMzmhspBP3892Gmy,0.6508379217857143
Stela Cole,Feel It Again,https://open.spotify.com/track/5d3Q0zYlx2vTIQUXCkbvh5,0.6500329217857143
Wyatt Flores,Running Out Of Time,https://open.spotify.com/track/4qIdRNZsrZ0HHPq73AWGQW,0.6495387532142857
Cassandra Jenkins,Only One,https://open.spotify.com/track/5MXegzzvDfUSfwpf8a0FCq,0.6477847780714285
WesGhost,SPINE,https://open.spotify.com/track/6Stz1dIY7OD61gU7SdVR22,0.6463218932142858
Tee Grizzley,Suffer In Silence,https://open.spotify.com/track/0gkV6O56gE1siaDAJenaLZ,0.6448692219285714
Jelani Aryeh,Shudder,https://open.spotify.com/track/1c1iyuIpgPr7FBbMBkQEzJ,0.6394369353571429
"JWLKRS Worship, Maverick City Music, Chandler Moore",In The Name of Jesus (feat. Chandler Moore),https://open.spotify.com/track/4O2mQtteYmGU173GcZjn6C,0.6385222075
Baby Kia,NYC WITH FELONS,https://open.spotify.com/track/73Ov82yPi2A8i1yH8PhzVS,0.635983507642857
Kings of Leon,Nothing To Do,https://open.spotify.com/track/2Eza3ko1jcN2xkm6BkeUM4,0.6318118746428569
"Rvshvd, Paul Wall",Hunnids In A Honky Tonk (feat. Paul Wall),https://open.spotify.com/track/0mGVfytxzgPXgGJf7RknpU,0.6298807789285714
Lola Brooke,Neighborhood Hero,https://open.spotify.com/track/4l7iSP0OBLK2qfxpJ4SzLZ,0.6296413833571428
Inayah,Pressure,https://open.spotify.com/track/5XeibBA25uruR2fj9SgCJk,0.626309350357143
Skilla Baby,Free Big Meech,https://open.spotify.com/track/0PBYOiDJxW54ZRjMl8xXs8,0.6261549362142859
Hana Vu,22,https://open.spotify.com/track/7jECqeVkbeYMvKNsYJvjY4,0.6250552360714285
Vedo,Your Love Is All I Need,https://open.spotify.com/track/5K4XGPDbG9CR6hoAM0Htua,0.6240950646428571
"Mozzy, Fridayy",LOST IT ALL (feat. Fridayy),https://open.spotify.com/track/6DixIW3CTticYSsVPknx6q,0.6232236360714286
